id,city_id/id,name,type
zip_co_853018,l10n_co_base_location.city_co_85430,853018,rural
zip_co_853010,l10n_co_base_location.city_co_85430,853010,urban
zip_co_853017,l10n_co_base_location.city_co_85430,853017,rural
zip_co_855039,l10n_co_base_location.city_co_85440,855039,rural
zip_co_855037,l10n_co_base_location.city_co_85440,855037,rural
zip_co_855038,l10n_co_base_location.city_co_85440,855038,rural
zip_co_855030,l10n_co_base_location.city_co_85440,855030,urban
zip_co_850009,l10n_co_base_location.city_co_85001,850009,rural
zip_co_850002,l10n_co_base_location.city_co_85001,850002,urban
zip_co_850008,l10n_co_base_location.city_co_85001,850008,rural
zip_co_850007,l10n_co_base_location.city_co_85001,850007,rural
zip_co_850001,l10n_co_base_location.city_co_85001,850001,urban
zip_co_194080,l10n_co_base_location.city_co_19022,194080,urban
zip_co_194088,l10n_co_base_location.city_co_19022,194088,rural
zip_co_194089,l10n_co_base_location.city_co_19022,194089,rural
zip_co_194087,l10n_co_base_location.city_co_19022,194087,rural
zip_co_195560,l10n_co_base_location.city_co_19050,195560,urban
zip_co_195567,l10n_co_base_location.city_co_19050,195567,rural
zip_co_195530,l10n_co_base_location.city_co_19075,195530,urban
zip_co_195539,l10n_co_base_location.city_co_19075,195539,rural
zip_co_195538,l10n_co_base_location.city_co_19075,195538,rural
zip_co_195537,l10n_co_base_location.city_co_19075,195537,rural
zip_co_195547,l10n_co_base_location.city_co_19075,195547,rural
zip_co_195001,l10n_co_base_location.city_co_19100,195001,urban
zip_co_195017,l10n_co_base_location.city_co_19100,195017,rural
zip_co_195007,l10n_co_base_location.city_co_19100,195007,rural
zip_co_195009,l10n_co_base_location.city_co_19100,195009,rural
zip_co_195019,l10n_co_base_location.city_co_19100,195019,rural
zip_co_195008,l10n_co_base_location.city_co_19100,195008,rural
zip_co_195018,l10n_co_base_location.city_co_19100,195018,rural
zip_co_191001,l10n_co_base_location.city_co_19110,191001,urban
zip_co_191008,l10n_co_base_location.city_co_19110,191008,rural
zip_co_191009,l10n_co_base_location.city_co_19110,191009,rural
zip_co_191017,l10n_co_base_location.city_co_19110,191017,rural
zip_co_191007,l10n_co_base_location.city_co_19110,191007,rural
zip_co_190501,l10n_co_base_location.city_co_19130,190501,urban
zip_co_190518,l10n_co_base_location.city_co_19130,190518,rural
zip_co_190517,l10n_co_base_location.city_co_19130,190517,rural
zip_co_190507,l10n_co_base_location.city_co_19130,190507,rural
zip_co_190509,l10n_co_base_location.city_co_19130,190509,rural
zip_co_190508,l10n_co_base_location.city_co_19130,190508,rural
zip_co_192040,l10n_co_base_location.city_co_19137,192040,urban
zip_co_192047,l10n_co_base_location.city_co_19137,192047,rural
zip_co_192057,l10n_co_base_location.city_co_19137,192057,rural
zip_co_192048,l10n_co_base_location.city_co_19137,192048,rural
zip_co_192049,l10n_co_base_location.city_co_19137,192049,rural
zip_co_191070,l10n_co_base_location.city_co_19142,191070,urban
zip_co_191078,l10n_co_base_location.city_co_19142,191078,rural
zip_co_191079,l10n_co_base_location.city_co_19142,191079,rural
zip_co_191088,l10n_co_base_location.city_co_19142,191088,rural
zip_co_191077,l10n_co_base_location.city_co_19142,191077,rural
zip_co_191087,l10n_co_base_location.city_co_19300,191087,rural
zip_co_191560,l10n_co_base_location.city_co_19212,191560,urban
zip_co_191568,l10n_co_base_location.city_co_19212,191568,rural
zip_co_191567,l10n_co_base_location.city_co_19212,191567,rural
zip_co_191569,l10n_co_base_location.city_co_19212,191569,rural
zip_co_193570,l10n_co_base_location.city_co_19256,193570,urban
zip_co_193588,l10n_co_base_location.city_co_19256,193588,rural
zip_co_193589,l10n_co_base_location.city_co_19256,193589,rural
zip_co_193597,l10n_co_base_location.city_co_19256,193597,rural
zip_co_193577,l10n_co_base_location.city_co_19256,193577,rural
zip_co_193579,l10n_co_base_location.city_co_19256,193579,rural
zip_co_193587,l10n_co_base_location.city_co_19256,193587,rural
zip_co_193578,l10n_co_base_location.city_co_19256,193578,rural
zip_co_195040,l10n_co_base_location.city_co_19290,195040,urban
zip_co_195047,l10n_co_base_location.city_co_19290,195047,rural
zip_co_196001,l10n_co_base_location.city_co_19318,196001,urban
zip_co_196007,l10n_co_base_location.city_co_19318,196007,rural
zip_co_196009,l10n_co_base_location.city_co_19318,196009,rural
zip_co_196008,l10n_co_base_location.city_co_19318,196008,rural
zip_co_192548,l10n_co_base_location.city_co_19355,192548,rural
zip_co_192539,l10n_co_base_location.city_co_19355,192539,rural
zip_co_192537,l10n_co_base_location.city_co_19355,192537,rural
zip_co_192531,l10n_co_base_location.city_co_19355,192531,urban
zip_co_192547,l10n_co_base_location.city_co_19355,192547,rural
